iter	RMSE
0	144510.9249
1	144494.8122
2	144477.5811
3	144437.9945
4	144365.6783
5	144284.5566
6	144267.9277
7	144251.3292
8	144235.898
9	144182.4609
10	144063.0829
11	144001.4081
12	143979.0482
13	143965.0266
14	143776.8598
15	143750.3404
16	143686.9743
17	143670.1876
18	143642.68
19	143600.5331
20	143567.1282
21	143502.9675
22	143425.4079
23	143267.2554
24	143229.4322
25	143166.1694
26	143118.9785
27	143084.4674
28	143068.8689
29	143036.7908
30	142945.834
31	142918.9071
32	142818.9016
33	142779.2327
34	142764.7666
35	142744.8312
36	142705.9317
37	142676.7305
38	142624.0492
39	142579.6562
40	142567.0671
41	142261.4702
42	141259.4582
43	141245.2929
44	141200.0878
45	141188.2295
46	141172.8108
47	141029.0865
48	141017.9039
49	141005.6695
50	140992.4716
51	140968.5962
52	140956.0139
53	140945.8039
54	140878.0711
55	140849.5645
56	140748.1487
57	140645.6037
58	140624.092
59	139107.2878
60	139093.3216
61	139081.2618
62	139044.8739
63	139033.4461
64	138894.9215
65	138848.5407
66	138823.1526
67	138711.7446
68	138688.8622
69	138677.3445
70	138575.4151
71	138508.1623
72	138497.3707
73	138477.1073
74	138462.7003
75	138453.7593
76	138416.3651
77	138393.0279
78	138265.3521
79	138241.0804
80	138230.8398
81	138151.0703
82	136656.678
83	136639.2463
84	136588.3658
85	136578.0231
86	136504.1228
87	136484.3258
88	136426.6316
89	136401.5425
90	136319.0019
91	135733.8308
92	135716.9223
93	135705.5504
94	135696.362
95	135687.3408
96	135631.3646
97	135587.6953
98	133881.4396
99	133870.836
100	133862.4333
101	133284.7733
102	133264.9998
103	133251.1165
104	133190.1388
105	133181.2542
106	133101.0163
107	133087.9181
108	133071.934
109	133044.0816
110	133035.9841
111	133017.0385
112	132994.015
113	132519.4971
114	132112.3659
115	132036.2674
116	131991.63
117	131974.6796
118	131908.1055
119	131891.2426
120	131857.0079
121	131382.6705
122	131355.9712
123	129962.06
124	129953.7672
125	129922.0589
126	129810.5314
127	129722.6875
128	129645.6337
129	129637.8379
130	129586.6174
131	129499.7725
132	129061.9029
133	128709.8133
134	127574.1928
135	127341.7148
136	126683.7078
137	126521.231
138	126476.838
139	126451.8181
140	126405.9624
141	124850.3246
142	124639.3933
143	124624.5884
144	124522.2351
145	124478.4558
146	122930.0884
147	122898.65
148	122854.8481
149	121605.2853
150	121576.9158
151	121517.6338
152	121502.4348
153	121477.7157
154	121451.3262
155	121421.5876
156	121406.8865
157	121368.0101
158	120978.6381
159	120942.5702
160	120931.0734
161	120405.2789
162	120127.3653
163	119876.5796
164	119841.3532
165	119812.3393
166	119394.3768
167	119380.4405
168	119360.5545
169	119339.9712
170	118750.3533
171	118245.271
172	116851.513
173	116830.9565
174	116815.8051
175	116802.4531
176	115670.5333
177	115620.2442
178	114264.1615
179	114208.1812
180	114144.8816
181	113570.5293
182	113549.489
183	113541.9031
184	113526.1061
185	113268.4563
186	113225.4167
187	113204.0917
188	113192.3029
189	113167.3129
190	113147.5895
191	113125.154
192	113092.2464
193	112423.8626
194	111913.6927
195	111895.6729
196	111873.3207
197	111501.5466
198	111462.2664
199	111451.1909
200	110161.144
201	110142.784
202	110126.3004
203	110111.3895
204	110092.5192
205	110075.024
206	110065.1384
207	110051.3167
208	110033.9575
209	110016.0594
210	109998.2211
211	109982.9288
212	109963.757
213	109949.0404
214	109936.3946
215	109923.6621
216	109909.1052
217	109895.271
218	109880.6768
219	109842.6686
220	109830.5264
221	109794.1407
222	109780.0471
223	109764.3156
224	109751.5423
225	109735.9631
226	109725.5106
227	109714.679
228	109700.7379
229	109690.3964
230	109676.6397
231	109640.8076
232	109632.6032
233	109618.923
234	109606.9674
235	109570.2373
236	109533.7057
237	109498.7563
238	109493.2725
239	109481.0224
240	109469.0416
241	109462.5421
242	109449.3449
243	109413.4141
244	109403.0678
245	109367.4516
246	109359.4617
247	109353.7954
248	109348.5768
249	109340.2945
250	109336.9846
251	109329.5652
252	109322.7549
253	109315.3581
254	109312.1379
255	109308.9843
256	109301.3913
257	109298.2293
258	109286.8299
259	109279.6701
260	109272.1035
261	109264.9328
262	109257.4531
263	109250.1462
264	109243.2079
265	109235.985
266	109229.0911
267	109221.8524
268	109214.6133
269	109207.7884
270	109201.5586
271	109194.4812
272	109188.3145
273	109181.315
274	109167.1442
275	109160.2081
276	109140.173
277	109138.2558
278	109124.128
279	109115.0035
280	109105.4937
281	109083.1404
282	109068.9993
283	109065.5342
284	109063.6804
285	109060.2548
286	109058.4125
