iter	Passed	Remaining
0	198	1989323
1	236	1180010
2	238	793884
3	273	683101
4	310	621385
5	348	581187
6	389	555675
7	427	533660
8	430	477892
9	469	468646
10	510	463770
11	547	455296
12	581	446540
13	617	440579
14	651	433501
15	686	428289
16	722	424035
17	757	420085
18	793	416650
19	830	414214
20	867	412299
21	903	409818
22	938	407104
23	975	405596
24	1014	404818
25	1056	405426
26	1095	404755
27	1133	403604
28	1171	402680
29	1214	403639
30	1253	402956
31	1289	401637
32	1326	400769
33	1363	399584
34	1399	398412
35	1435	397293
36	1469	395726
37	1504	394364
38	1542	394035
39	1578	393036
40	1588	385845
41	1626	385708
42	1663	385281
43	1700	384810
44	1736	384051
45	1770	383073
46	1809	383121
47	1847	383067
48	1885	382935
49	1920	382083
50	1954	381283
51	1989	380570
52	2029	380833
53	2030	374031
54	2066	373710
55	2099	372798
56	2134	372313
57	2167	371467
58	2199	370603
59	2235	370282
60	2266	369221
61	2300	368790
62	2336	368488
63	2372	368280
64	2407	367900
65	2442	367657
66	2479	367592
67	2515	367370
68	2549	366993
69	2581	366179
70	2614	365644
71	2647	365073
72	2656	361247
73	2690	360938
74	2724	360585
75	2729	356379
76	2765	356357
77	2799	356116
78	2830	355513
79	2865	355277
80	2902	355472
81	2938	355408
82	2973	355230
83	3010	355391
84	3044	355187
85	3077	354812
86	3112	354694
87	3147	354476
88	3183	354463
89	3219	354463
90	3252	354125
91	3287	353996
92	3320	353676
93	3352	353246
94	3385	352978
95	3420	352830
96	3454	352674
97	3489	352562
98	3524	352481
99	3558	352299
100	3591	352048
101	3627	351992
102	3660	351774
103	3694	351499
104	3725	351089
105	3758	350830
106	3791	350510
107	3827	350606
108	3860	350312
109	3897	350409
110	3935	350588
111	3973	350773
112	4010	350917
113	4050	351268
114	4089	351543
115	4128	351748
116	4164	351787
117	4201	351886
118	4235	351701
119	4237	348915
120	4271	348723
121	4304	348508
122	4340	348538
123	4375	348484
124	4384	346348
125	4420	346381
126	4458	346615
127	4493	346532
128	4531	346768
129	4538	344594
130	4577	344833
131	4614	345001
132	4651	345068
133	4692	345470
134	4728	345564
135	4763	345476
136	4797	345405
137	4833	345452
138	4868	345392
139	4902	345289
140	4941	345508
141	4977	345534
142	5009	345321
143	5042	345110
144	5074	344919
145	5108	344803
146	5142	344715
147	5176	344573
148	5211	344534
149	5243	344318
150	5278	344319
151	5318	344607
152	5359	344954
153	5399	345203
154	5435	345267
155	5475	345510
156	5513	345638
157	5552	345876
158	5592	346131
159	5629	346229
160	5665	346198
161	5703	346364
162	5740	346453
163	5776	346437
164	5809	346295
165	5848	346458
